Generated by GetData Graph Digitizer 2.26.0.20 on May 09 2026, 12:16
from file 'C:\Users\asus\Desktop\Picture1.jpg'

Line #1
 1.23966942148760e+001    1.20772946859903e+000
 2.03305785123967e+001    2.41545893719807e+000
 3.37190082644628e+001    8.45410628019324e+000
 4.66115702479339e+001    1.69082125603865e+001
 6.04958677685950e+001    2.89855072463768e+001
 6.84297520661157e+001    3.74396135265700e+001
 7.58677685950413e+001    4.58937198067633e+001
 8.23140495867769e+001    5.43478260869565e+001
 8.97520661157025e+001    6.40096618357488e+001
 9.76859504132231e+001    7.60869565217391e+001
 1.04132231404959e+002    8.69565217391304e+001
 1.08099173553719e+002    9.42028985507246e+001
 1.14049586776860e+002    1.03864734299517e+002
 1.19008264462810e+002    1.13526570048309e+002
 1.22975206611570e+002    1.23188405797101e+002
 1.29917355371901e+002    1.34057971014493e+002
 1.34876033057851e+002    1.46135265700483e+002
 1.38347107438017e+002    1.53381642512077e+002
 1.43305785123967e+002    1.65458937198068e+002
 1.48264462809917e+002    1.77536231884058e+002
 1.53223140495868e+002    1.88405797101449e+002
 1.56694214876033e+002    1.98067632850242e+002
 1.61652892561983e+002    2.10144927536232e+002
 1.66115702479339e+002    2.23429951690821e+002
 1.72066115702479e+002    2.39130434782609e+002
 1.78016528925620e+002    2.56038647342995e+002
 1.82479338842975e+002    2.70531400966184e+002
 1.86446280991736e+002    2.81400966183575e+002
 1.91404958677686e+002    2.95893719806763e+002
 1.96859504132231e+002    3.15217391304348e+002
 2.01818181818182e+002    3.29710144927536e+002
 2.04793388429752e+002    3.39371980676329e+002

Line #2
 1.33388429752066e+002    6.15942028985507e+001
 1.31404958677686e+002    6.88405797101449e+001
 1.27933884297521e+002    7.97101449275362e+001
 1.23966942148760e+002    9.29951690821256e+001
 1.20495867768595e+002    1.03864734299517e+002
 1.16033057851240e+002    1.18357487922705e+002
 1.10082644628099e+002    1.36473429951691e+002
 1.05619834710744e+002    1.48550724637681e+002
 1.02148760330579e+002    1.59420289855072e+002
 9.91735537190083e+001    1.67874396135266e+002
 9.71900826446281e+001    1.72705314009662e+002
 9.32231404958678e+001    1.82367149758454e+002
